date,hour,org
2024-12-03,7,11194
2024-12-03,7,452566
2024-12-03,7,447128
2024-12-03,7,446190
2024-12-03,7,442990
2024-12-03,7,453001
2024-12-03,7,446782
2024-12-03,7,447840
2024-12-03,8,1028
2024-12-03,7,445613
2024-12-03,7,452126
2024-12-03,7,442440
2024-12-03,7,453901
2024-12-03,7,488
2024-12-03,7,451686
2024-12-03,7,445601
2024-12-03,7,449265
2024-12-03,7,445239
2024-12-03,7,448486
2024-12-03,7,438489
2024-12-03,8,448913
2024-12-03,8,448524
2024-12-03,8,444931
2024-12-03,8,451611
2024-12-03,8,445882
2024-12-03,8,42
2024-12-03,8,455679
2024-12-03,8,445262
2024-12-03,8,442440
2024-12-03,8,451026
2024-12-03,8,445947
2024-12-03,8,452562
2024-12-03,8,445239
2024-12-03,8,451937
2024-12-03,8,443145
2024-12-03,8,448007
2024-12-03,8,455615
2024-12-03,8,445601
2024-12-03,8,450827
2024-12-03,9,454747
2024-12-03,9,454003
2024-12-03,9,31758
2024-12-03,9,442990
2024-12-03,9,510
2024-12-03,9,448007
2024-12-03,9,452955
2024-12-03,9,447128
2024-12-03,9,488
2024-12-03,9,453408
2024-12-03,8,448501
2024-12-03,8,364
2024-12-03,8,438484
2024-12-03,8,442808
2024-12-03,8,442894
2024-12-03,8,455510
2024-12-03,8,452341
2024-12-03,8,450287
2024-12-03,8,447953
2024-12-03,9,444931
2024-12-03,9,452918
2024-12-03,9,451068
2024-12-03,9,447840
2024-12-03,9,445947
2024-12-03,9,446275
2024-12-03,9,447953
2024-12-03,9,451945
2024-12-03,9,442440
2024-12-03,9,455248
2024-12-03,9,449694
2024-12-03,9,450306
2024-12-03,9,450934
2024-12-03,9,829
2024-12-03,9,442808
2024-12-03,9,442894
2024-12-03,9,446190
2024-12-03,9,444028
2024-12-03,9,444325
2024-12-03,9,453026
2024-12-03,9,444370
2024-12-03,9,438484
2024-12-03,9,448929
2024-12-03,9,480
2024-12-03,9,453413
2024-12-03,9,445601
2024-12-03,9,451982
2024-12-03,9,443744
2024-12-03,9,441943
2024-12-03,9,451937
2024-12-03,9,447879
2024-12-03,9,455679
2024-12-03,9,447050
2024-12-03,9,352259
2024-12-03,9,454126
2024-12-03,9,444754
2024-12-03,9,450412
2024-12-03,9,441716
2024-12-03,9,445239
2024-12-03,9,449364
2024-12-03,9,452889
2024-12-03,9,443362
2024-12-03,9,443689
2024-12-03,9,444836
2024-12-03,9,27637
2024-12-03,9,441469
2024-12-03,9,455157
2024-12-03,9,436288
2024-12-03,9,447126
2024-12-03,10,451937
2024-12-03,10,442990
2024-12-03,10,488
2024-12-03,10,441502
2024-12-03,10,449694
2024-12-03,10,452341
2024-12-03,10,934
2024-12-03,10,447840
2024-12-03,10,162819
2024-12-03,10,451411
2024-12-03,10,438484
2024-12-03,10,454126
2024-12-03,10,446585
2024-12-03,10,448841
2024-12-03,10,11194
2024-12-03,10,453026
2024-12-03,10,452975
2024-12-03,10,445601
2024-12-03,10,452955
2024-12-03,10,444339
2024-12-03,10,445239
2024-12-03,10,450969
2024-12-03,10,450934
2024-12-03,10,442808
2024-12-03,10,451049
2024-12-03,10,1747
2024-12-03,11,444931
2024-12-03,11,447879
2024-12-03,11,162819
2024-12-03,11,488
2024-12-03,11,441716
2024-12-03,11,454970
2024-12-03,11,447840
2024-12-03,10,452776
2024-12-03,10,444931
